time,ax,ay,az,aT
1.108000,-0.0066,-0.0234,0.0921,0.095
1.113000,0.0201,-0.0325,0.0229,0.045
1.118000,0.0125,-0.0360,0.0675,0.078
1.123000,0.0141,-0.0377,0.0556,0.069
1.129000,0.0237,-0.0211,-0.0093,0.033
1.133000,0.0110,-0.0106,0.0808,0.082
1.138000,0.0137,0.0284,0.0368,0.049
1.143000,0.0385,0.0614,-0.0110,0.073
1.148000,0.0143,0.0276,0.0451,0.055
1.153000,-0.0317,0.0380,0.0498,0.070
1.158000,-0.0401,0.0330,0.0024,0.052
1.162000,-0.0415,-0.0114,-0.0285,0.052
1.170000,-0.0292,-0.0071,-0.0118,0.032
1.173000,-0.0015,-0.0200,0.0480,0.052
1.178000,-0.0057,0.0044,0.0797,0.080
1.183000,0.0028,0.0319,-0.0170,0.036
1.188000,0.0319,0.0251,0.0054,0.041
1.193000,0.0466,0.0202,0.0781,0.093
1.197000,0.0105,0.0270,0.0507,0.058
1.202000,0.0157,-0.0091,0.0431,0.047
1.212000,0.0338,-0.0344,0.0250,0.054
1.219000,0.0551,-0.0283,0.0091,0.063
1.227000,0.0483,-0.0059,0.0373,0.061
1.229000,0.0700,0.0071,0.0363,0.079
1.232000,0.0893,-0.0269,-0.0267,0.097
1.239000,0.0188,-0.0341,0.0718,0.082
1.242000,0.0022,-0.0095,0.0988,0.099
1.246000,0.0061,-0.0415,0.0417,0.059
1.252000,-0.0159,-0.0272,0.0476,0.057
1.256000,-0.0206,-0.0257,0.0221,0.040
1.262000,-0.0088,-0.0544,0.0730,0.091
1.267000,0.0418,-0.0308,0.0918,0.105
1.272000,0.0316,-0.0492,0.0687,0.090
1.277000,0.0124,-0.0213,-0.0679,0.072
1.282000,0.0016,-0.0142,0.1156,0.117
1.287000,-0.0156,-0.0380,0.0703,0.081
1.291000,0.0152,-0.0129,-0.0190,0.028
1.296000,-0.0039,-0.0368,0.0247,0.044
1.300000,0.0255,-0.0717,0.0656,0.100
1.306000,0.0370,-0.0133,0.0794,0.089
1.311000,0.0053,0.0033,0.0281,0.029
1.319000,-0.0004,-0.0247,0.0311,0.040
1.321000,-0.0046,-0.0126,0.0414,0.044
1.327000,-0.0180,0.0026,0.0511,0.054
1.331000,-0.0281,0.0087,0.0736,0.079
1.338000,0.0359,0.0135,0.0892,0.097
1.341000,0.0123,-0.0034,0.0292,0.032
1.346000,0.0403,0.0216,0.0235,0.051
1.351000,0.0786,0.0148,0.0011,0.080
1.355000,0.0312,0.0322,0.0177,0.048
1.360000,0.0238,0.0240,0.0462,0.057
1.366000,0.0191,0.0050,0.0660,0.069
1.371000,-0.0466,0.0421,0.0572,0.085
1.375000,0.0232,0.0048,0.0001,0.024
1.380000,0.0142,0.0042,-0.0052,0.016
1.385000,-0.0194,0.0132,0.0895,0.093
1.389000,-0.0188,-0.0377,0.0002,0.042
1.395000,0.0143,0.0130,0.0267,0.033
1.400000,0.0220,-0.0110,-0.0190,0.031
1.405000,-0.0124,0.0668,-0.0023,0.068
1.411000,0.0222,-0.0087,0.0436,0.050
1.417000,-0.0006,0.0104,-0.0071,0.013
1.420000,-0.0038,-0.0285,0.0296,0.041
1.425000,0.0130,-0.0206,0.0460,0.052
1.430000,0.0454,-0.0244,0.0693,0.086
1.435000,0.0335,0.0105,0.0157,0.038
1.440000,0.0720,-0.0153,0.0327,0.081
1.445000,0.0708,-0.0185,0.0536,0.091
1.456000,0.0424,-0.0253,0.0087,0.050
1.460000,0.0604,-0.0719,0.0417,0.103
1.461000,0.0318,-0.0074,0.0706,0.078
1.464000,0.0422,-0.0340,0.0102,0.055
1.480000,0.0178,-0.0018,0.0570,0.060
1.481000,0.0178,-0.0208,0.0640,0.070
1.482000,0.0329,0.0041,0.0727,0.080
1.484000,0.0285,-0.0112,0.0234,0.039
1.490000,0.0102,-0.0083,0.0564,0.058
1.495000,-0.0055,-0.0313,0.0200,0.038
1.500000,-0.0009,-0.0178,0.0510,0.054
1.506000,0.0495,-0.0015,0.0330,0.060
1.509000,0.0222,-0.0050,0.0247,0.034
1.516000,-0.0022,-0.0035,0.0888,0.089
1.519000,0.0296,0.0041,0.0325,0.044
1.524000,-0.0314,0.0172,0.0040,0.036
1.529000,-0.0020,0.0252,0.0637,0.069
1.534000,-0.0053,0.0201,0.0285,0.035
1.541000,-0.0123,0.0128,0.0256,0.031
1.543000,0.0095,0.0112,0.0059,0.016
1.553000,0.0343,-0.0106,0.0213,0.042
1.554000,0.0563,-0.0157,-0.0038,0.059
1.558000,0.0333,-0.0180,0.0139,0.040
1.563000,0.0265,0.0110,0.0003,0.029
1.581000,0.0010,-0.0068,0.0162,0.018
1.582000,0.0381,0.0187,0.0523,0.067
1.587000,0.0410,0.0126,0.0205,0.047
1.590000,0.0232,-0.0412,0.0259,0.054
1.590000,0.0554,-0.0434,0.0677,0.098
1.594000,0.0256,-0.0241,0.0609,0.070
1.599000,0.0206,-0.0526,0.0238,0.061
1.603000,0.0385,-0.0392,0.0257,0.061
1.608000,0.0217,-0.0219,0.0258,0.040
1.613000,0.0122,-0.0386,0.0361,0.054
1.618000,0.0351,-0.0109,0.0293,0.047
1.623000,0.0269,0.0012,0.0249,0.037
1.627000,0.0134,-0.0071,0.0557,0.058
1.633000,-0.0024,-0.0210,0.0639,0.067
1.638000,-0.0101,-0.0284,0.0563,0.064
1.643000,-0.0110,-0.0103,0.0244,0.029
1.649000,0.0065,-0.0003,0.0355,0.036
1.654000,-0.0104,-0.0236,0.0685,0.073
1.658000,-0.0304,-0.0093,0.0703,0.077
1.663000,-0.0045,0.0181,0.0128,0.023
1.677000,0.0158,-0.0039,0.0138,0.021
1.679000,0.0255,-0.0226,0.0670,0.075
1.689000,0.0226,-0.0085,0.0575,0.062
1.691000,0.0288,0.0156,0.0873,0.093
1.696000,0.0498,-0.0249,0.1194,0.132
1.697000,0.0574,-0.0382,0.1768,0.190
1.723000,0.0273,-0.0204,0.2174,0.220
1.725000,0.0211,0.0261,0.1669,0.170
1.726000,0.0410,0.0186,0.1674,0.173
1.727000,0.0126,0.0408,0.2749,0.278
1.728000,0.0320,0.0238,0.3891,0.391
1.728000,0.0502,0.0356,0.3369,0.342
1.734000,0.0340,-0.0158,0.3402,0.342
1.738000,0.0321,-0.0078,0.4421,0.443
1.742000,-0.0197,-0.0040,0.3522,0.353
1.747000,0.0002,0.0103,0.3243,0.324
1.752000,0.0051,-0.0092,0.3949,0.395
1.757000,0.0316,-0.0028,0.3409,0.342
1.762000,0.0815,0.0036,0.2537,0.267
1.768000,0.0423,0.0044,0.3720,0.374
1.772000,0.0414,0.0209,0.2176,0.222
1.776000,0.0263,-0.0175,0.2980,0.300
1.783000,0.0490,0.0054,0.2361,0.241
1.788000,0.0442,0.0180,0.1822,0.188
1.791000,0.0647,-0.0153,0.1724,0.185
1.796000,0.0586,-0.0454,0.1068,0.130
1.803000,0.0665,-0.0217,0.0561,0.090
1.806000,0.0229,-0.0371,0.1679,0.173
1.812000,0.0149,-0.0070,0.0462,0.049
1.819000,-0.0036,-0.0094,-0.0441,0.045
1.824000,0.0322,0.0042,0.0437,0.054
1.826000,-0.0130,-0.0234,0.0055,0.027
1.842000,0.0090,-0.0290,-0.0192,0.036
1.844000,-0.0000,-0.0434,0.0328,0.054
1.845000,-0.0237,-0.0150,-0.0529,0.060
1.868000,0.0281,-0.0525,-0.0006,0.060
1.869000,-0.0086,-0.0138,-0.0077,0.018
1.870000,0.0278,0.0214,0.0745,0.082
1.871000,0.0055,-0.0293,0.0321,0.044
1.871000,0.0181,-0.0270,0.0202,0.038
1.872000,-0.0019,0.0057,0.1189,0.119
1.877000,-0.0263,-0.0366,0.1137,0.122
1.895000,-0.0047,-0.0056,0.1120,0.112
1.896000,-0.0471,0.0393,0.1821,0.192
1.897000,-0.0062,0.0141,0.1814,0.182
1.897000,-0.0474,0.0161,0.1516,0.160
1.910000,0.0165,0.0007,0.2109,0.212
1.912000,-0.0006,0.0117,0.2165,0.217
1.913000,0.0192,0.0326,0.2352,0.238
1.928000,0.0169,0.0415,0.2909,0.294
1.930000,0.0353,-0.0264,0.2895,0.293
1.930000,0.0699,0.0119,0.3076,0.316
1.931000,0.0118,0.0188,0.3242,0.325
1.943000,0.0045,0.0028,0.2851,0.285
1.945000,0.0346,0.0025,0.3221,0.324
1.945000,0.0300,-0.0329,0.3946,0.397
1.951000,0.0270,-0.0204,0.3396,0.341
1.954000,0.0644,-0.0446,0.3432,0.352
1.959000,0.0616,-0.0575,0.3425,0.353
1.972000,0.0533,-0.0262,0.3228,0.328
1.975000,0.0665,-0.0019,0.3512,0.357
1.977000,0.0363,-0.0373,0.3329,0.337
2.000000,0.0206,-0.0093,0.3075,0.308
2.002000,0.0192,-0.0369,0.3201,0.323
2.004000,0.0343,-0.0373,0.3332,0.337
